Frequency(Hz),Magnitude(dB),Phase(deg)
1755.86,-20.93,-82.26
1796.84,-21.13,-82.43
1838.78,-21.33,-82.60
1881.69,-21.52,-82.77
1925.61,-21.72,-82.93
1970.56,-21.92,-83.09
2016.55,-22.12,-83.25
2063.62,-22.31,-83.40
2111.78,-22.51,-83.55
2161.07,-22.71,-83.70
2211.51,-22.91,-83.84
2263.13,-23.11,-83.98
2315.95,-23.30,-84.11
2370.01,-23.50,-84.25
2425.32,-23.70,-84.38
2481.93,-23.90,-84.51
2539.86,-24.10,-84.63
2599.14,-24.30,-84.75
2659.80,-24.50,-84.87
2721.88,-24.69,-84.99
2785.41,-24.89,-85.10
2850.43,-25.09,-85.21
2916.96,-25.29,-85.32
2985.04,-25.49,-85.43
3054.71,-25.69,-85.53
3126.01,-25.89,-85.63
3198.97,-26.09,-85.73
3273.63,-26.29,-85.83
3350.04,-26.49,-85.92
3428.23,-26.69,-86.02
3508.25,-26.89,-86.11
3590.13,-27.08,-86.20
3673.92,-27.28,-86.28
3759.67,-27.48,-86.37
3847.43,-27.68,-86.45
3937.23,-27.88,-86.53
4029.12,-28.08,-86.61
4123.16,-28.28,-86.69
4219.40,-28.48,-86.76
4317.88,-28.68,-86.84
4418.66,-28.88,-86.91
4521.79,-29.08,-86.98
4627.33,-29.28,-87.05
4735.33,-29.48,-87.11
4845.86,-29.68,-87.18
4958.96,-29.88,-87.24
5074.71,-30.08,-87.31
5193.15,-30.28,-87.37
5314.36,-30.48,-87.43
5438.40,-30.68,-87.49
5565.33,-30.88,-87.54
5695.23,-31.08,-87.60
5828.15,-31.28,-87.65
5964.18,-31.48,-87.71
6103.39,-31.68,-87.76
6245.84,-31.88,-87.81
6391.62,-32.08,-87.86
6540.81,-32.28,-87.91
6693.47,-32.48,-87.96
6849.70,-32.68,-88.00
7009.57,-32.88,-88.05
7173.17,-33.08,-88.09
7340.60,-33.28,-88.14
7511.93,-33.48,-88.18
7687.26,-33.68,-88.22
7866.68,-33.88,-88.26
8050.29,-34.08,-88.30
8238.19,-34.28,-88.34
8430.47,-34.48,-88.38
8627.24,-34.68,-88.41
8828.60,-34.88,-88.45
9034.66,-35.08,-88.49
9245.53,-35.29,-88.52
9461.32,-35.49,-88.55
9682.15,-35.69,-88.59
9908.14,-35.89,-88.62
10139.39,-36.09,-88.65
10376.05,-36.29,-88.68
10618.23,-36.49,-88.71
10866.06,-36.69,-88.74
11119.68,-36.89,-88.77
11379.21,-37.09,-88.80
11644.81,-37.29,-88.83
11916.60,-37.49,-88.85
12194.73,-37.69,-88.88
12479.36,-37.89,-88.90
12770.63,-38.09,-88.93
13068.70,-38.29,-88.95
13373.73,-38.49,-88.98
13685.87,-38.69,-89.00
14005.31,-38.89,-89.02
14332.19,-39.09,-89.05
14666.71,-39.29,-89.07
15009.03,-39.49,-89.09
15359.35,-39.69,-89.11
15717.84,-39.89,-89.13
16084.69,-40.09,-89.15
16460.12,-40.29,-89.17
16844.30,-40.49,-89.19
17237.45,-40.69,-89.21
17639.77,-40.89,-89.22
18051.49,-41.09,-89.24
18472.81,-41.29,-89.26
18903.97,-41.50,-89.28
19345.20,-41.70,-89.29
19796.72,-41.90,-89.31
20258.78,-42.10,-89.32
20731.62,-42.30,-89.34
21215.50,-42.50,-89.36
21710.68,-42.70,-89.37
22217.41,-42.90,-89.38
22735.97,-43.10,-89.40
23266.63,-43.30,-89.41
23809.68,-43.50,-89.43
24365.40,-43.70,-89.44
24934.09,-43.90,-89.45
25516.06,-44.10,-89.46
26111.61,-44.30,-89.48
26721.06,-44.50,-89.49
27344.74,-44.70,-89.50
27982.97,-44.90,-89.51
28636.10,-45.10,-89.52
29304.47,-45.30,-89.53
29988.44,-45.50,-89.54
30688.38,-45.70,-89.55
31404.65,-45.90,-89.56
32137.64,-46.10,-89.57
32887.74,-46.30,-89.58
33655.35,-46.50,-89.59
34440.87,-46.71,-89.60
35244.73,-46.91,-89.61
36067.35,-47.11,-89.62
36909.17,-47.31,-89.63
37770.64,-47.51,-89.64
38652.21,-47.71,-89.65
39554.36,-47.91,-89.65
40477.57,-48.11,-89.66
41422.32,-48.31,-89.67
42389.13,-48.51,-89.68
43378.50,-48.71,-89.68
44390.97,-48.91,-89.69
45427.06,-49.11,-89.70
46487.34,-49.31,-89.71
47572.36,-49.51,-89.71
